Date;Residence;Ouvertures;Clotures
"31-10-2022";"Non-résident CTR";"32";"36"
"30-06-2018";"Résident";"1723";"2110"
"30-04-2014";"Non-résident sans statut particulier";"96";"87"
"30-04-2022";"Non-résident sans statut particulier";"342";"506"
"28-02-2018";"Non-résident sans statut particulier";"264";"234"
"28-02-2014";"Résident";"2060";"2082"
"30-11-2016";"Non-résident CTR";"11";"11"
"31-01-2020";"Résident";"2882";"2482"
"31-03-2017";"Non-résident sans statut particulier";"297";"307"
"30-09-2020";"Non-résident sans statut particulier";"564";"834"
"31-10-2018";"Résident";"2736";"2270"
"30-04-2020";"Non-résident CTR";"24";"10"
"31-10-2014";"Non-résident CTR";"37";"8"
"30-11-2015";"Non-résident CTR";"32";"4"
"31-07-2021";"Non-résident CTR";"54";"30"
"31-01-2017";"Non-résident sans statut particulier";"300";"256"
"31-12-2014";"Non-résident CTR";"42";"2"
"31-12-2017";"Non-résident sans statut particulier";"212";"226"
"30-06-2022";"Non-résident CTR";"70";"23"
"31-08-2022";"Non-résident sans statut particulier";"445";"448"
"31-01-2014";"Non-résident CTR";"59";"6"
"30-06-2018";"Non-résident CTR";"47";"17"
"31-01-2016";"Résident";"2499";"2361"
"30-11-2018";"Non-résident sans statut particulier";"490";"261"
"31-10-2022";"Résident";"2797";"2368"
"31-05-2022";"Non-résident CTR";"42";"24"
"30-09-2015";"Non-résident CTR";"29";"9"
"31-08-2020";"Non-résident CTR";"23";"27"
"30-11-2022";"Non-résident sans statut particulier";"496";"420"
"31-05-2016";"Non-résident sans statut particulier";"217";"219"
"31-08-2019";"Non-résident CTR";"28";"30"
"30-11-2020";"Résident";"2460";"2177"
"28-02-2023";"Non-résident CTR";"33";"41"
"31-05-2015";"Non-résident sans statut particulier";"170";"164"
"30-09-2019";"Résident";"3111";"2720"
"31-08-2016";"Non-résident CTR";"30";"16"
"31-03-2022";"Non-résident CTR";"40";"36"
"31-08-2015";"Non-résident CTR";"36";"4"
"31-03-2017";"Résident";"2017";"2433"
"31-01-2021";"Non-résident sans statut particulier";"486";"407"
"31-01-2020";"Non-résident sans statut particulier";"615";"529"
"31-12-2017";"Résident";"2000";"1816"
"30-09-2020";"Résident";"2991";"2929"
"31-01-2017";"Résident";"2618";"2397"
"28-02-2018";"Résident";"1997";"2138"
"31-07-2017";"Non-résident CTR";"58";"20"
"31-12-2021";"Non-résident sans statut particulier";"405";"533"
"31-08-2020";"Résident";"2330";"2878"
"30-11-2016";"Résident";"2249";"2087"
